train/loss,epoch,step,val/loss,val/error_u,val/error_v,val/error_h,val/loss_best
0.0,0,0,,,,,
1.2592625617980957,1,1,,,,,
0.8335176706314087,2,2,,,,,
0.5845351815223694,3,3,,,,,
0.5757421851158142,4,4,,,,,
0.7262158393859863,5,5,,,,,
0.8421818017959595,6,6,,,,,
0.810705304145813,7,7,,,,,
0.7002938985824585,8,8,,,,,
0.5970114469528198,9,9,,,,,
0.5391160845756531,10,10,,,,,
0.538432240486145,11,11,,,,,
0.5830751061439514,12,12,,,,,
0.6327614784240723,13,13,,,,,
0.643806517124176,14,14,,,,,
0.613585352897644,15,15,,,,,
0.5707597136497498,16,16,,,,,
0.5363110303878784,17,17,,,,,
0.5171669125556946,18,18,,,,,
0.516498327255249,19,19,,,,,
0.5321866869926453,20,20,,,,,
0.5500476956367493,21,21,,,,,
0.5531008243560791,22,22,,,,,
0.539857029914856,23,23,,,,,
0.5215221643447876,24,24,,,,,
0.506296694278717,25,25,,,,,
0.49641209840774536,26,26,,,,,
0.4934692978858948,27,27,,,,,
0.497510701417923,28,28,,,,,
0.5028918385505676,29,29,,,,,
0.5021618008613586,30,30,,,,,
0.4945196807384491,31,31,,,,,
0.4847777485847473,32,32,,,,,
0.4760422110557556,33,33,,,,,
0.46904802322387695,34,34,,,,,
0.4652763903141022,35,35,,,,,
0.4649941325187683,36,36,,,,,
0.46444767713546753,37,37,,,,,
0.46006834506988525,38,38,,,,,
0.45284605026245117,39,39,,,,,
0.4449426531791687,40,40,,,,,
0.43688303232192993,41,41,,,,,
0.4297807514667511,42,42,,,,,
0.424968957901001,43,43,,,,,
0.4209781289100647,44,44,,,,,
0.4153694212436676,45,45,,,,,
0.40815269947052,46,46,,,,,
0.39992526173591614,47,47,,,,,
0.39061322808265686,48,48,,,,,
0.38143590092658997,49,49,,,,,
0.3735553026199341,50,50,,,,,
0.3659425377845764,51,51,,,,,
0.35783594846725464,52,52,,,,,
0.34931308031082153,53,53,,,,,
0.33967792987823486,54,54,,,,,
0.3294724225997925,55,55,,,,,
0.3199736773967743,56,56,,,,,
0.31096452474594116,57,57,,,,,
0.3026474714279175,58,58,,,,,
0.2948334813117981,59,59,,,,,
0.2868242561817169,60,60,,,,,
0.27935051918029785,61,61,,,,,
0.2724427282810211,62,62,,,,,
0.26670292019844055,63,63,,,,,
0.2622506618499756,64,64,,,,,
0.2586877942085266,65,65,,,,,
0.2559087872505188,66,66,,,,,
0.2533932328224182,67,67,,,,,
0.2514200508594513,68,68,,,,,
0.24964791536331177,69,69,,,,,
0.24809546768665314,70,70,,,,,
0.24623723328113556,71,71,,,,,
0.24394312500953674,72,72,,,,,
0.2409980148077011,73,73,,,,,
0.23752570152282715,74,74,,,,,
0.23372219502925873,75,75,,,,,
0.2297268956899643,76,76,,,,,
0.2258100062608719,77,77,,,,,
0.22205796837806702,78,78,,,,,
0.21865946054458618,79,79,,,,,
0.2155664712190628,80,80,,,,,
0.21290819346904755,81,81,,,,,
0.21058091521263123,82,82,,,,,
0.2085605412721634,83,83,,,,,
0.20662738382816315,84,84,,,,,
0.20466774702072144,85,85,,,,,
0.2025056928396225,86,86,,,,,
0.20015157759189606,87,87,,,,,
0.1976030021905899,88,88,,,,,
0.19495004415512085,89,89,,,,,
0.19222590327262878,90,90,,,,,
0.18950600922107697,91,91,,,,,
0.1868332326412201,92,92,,,,,
0.18429376184940338,93,93,,,,,
0.1819111704826355,94,94,,,,,
0.17969855666160583,95,95,,,,,
0.1776050329208374,96,96,,,,,
0.17559438943862915,97,97,,,,,
0.1736106425523758,98,98,,,,,
0.1716410219669342,99,99,,,,,
0.16965532302856445,100,100,,,,,
0.1676713079214096,101,101,,,,,
0.16569556295871735,102,102,,,,,
0.16375841200351715,103,103,,,,,
0.1618613600730896,104,104,,,,,
0.1600123792886734,105,105,,,,,
0.15820717811584473,106,106,,,,,
0.15644599497318268,107,107,,,,,
0.15471309423446655,108,108,,,,,
0.15299491584300995,109,109,,,,,
0.15128201246261597,110,110,,,,,
0.14957685768604279,111,111,,,,,
0.14788663387298584,112,112,,,,,
0.14621925354003906,113,113,,,,,
0.14458583295345306,114,114,,,,,
0.1429893523454666,115,115,,,,,
0.14143192768096924,116,116,,,,,
0.13990934193134308,117,117,,,,,
0.13842326402664185,118,118,,,,,
0.13697150349617004,119,119,,,,,
0.1355571448802948,120,120,,,,,
0.13418328762054443,121,121,,,,,
0.13285480439662933,122,122,,,,,
0.13157206773757935,123,123,,,,,
0.13033373653888702,124,124,,,,,
0.12913832068443298,125,125,,,,,
0.12798170745372772,126,126,,,,,
0.12686024606227875,127,127,,,,,
0.12577113509178162,128,128,,,,,
0.12471604347229004,129,129,,,,,
0.12369652837514877,130,130,,,,,
0.1227155476808548,131,131,,,,,
0.12177474051713943,132,132,,,,,
0.12087379395961761,133,133,,,,,
0.12001045048236847,134,134,,,,,
0.11918149143457413,135,135,,,,,
0.11838444322347641,136,136,,,,,
0.11761707812547684,137,137,,,,,
0.11687952280044556,138,138,,,,,
0.11617158353328705,139,139,,,,,
0.11549288034439087,140,140,,,,,
0.11484231799840927,141,141,,,,,
0.11421768367290497,142,142,,,,,
0.11361575871706009,143,143,,,,,
0.11303315311670303,144,144,,,,,
0.1124672070145607,145,145,,,,,
0.11191588640213013,146,146,,,,,
0.1113780289888382,147,147,,,,,
0.11085321009159088,148,148,,,,,
0.11034069210290909,149,149,,,,,
0.10983938723802567,150,150,,,,,
0.10934767872095108,151,151,,,,,
0.10886374861001968,152,152,,,,,
0.10838602483272552,153,153,,,,,
0.10791346430778503,154,154,,,,,
0.1074455976486206,155,155,,,,,
0.1069822609424591,156,156,,,,,
0.106523297727108,157,157,,,,,
0.10606829822063446,158,158,,,,,
0.10561671108007431,159,159,,,,,
0.105167917907238,160,160,,,,,
0.10472141951322556,161,161,,,,,
0.10427699238061905,162,162,,,,,
0.10383473336696625,163,163,,,,,
0.10339479148387909,164,164,,,,,
0.1029573529958725,165,165,,,,,
0.10252251476049423,166,166,,,,,
0.10209016501903534,167,167,,,,,
0.10166003555059433,168,168,,,,,
0.10123203694820404,169,169,,,,,
0.1008061096072197,170,170,,,,,
0.10038226842880249,171,171,,,,,
0.09996061027050018,172,172,,,,,
0.09954122453927994,173,173,,,,,
0.09912402927875519,174,174,,,,,
0.09870895743370056,175,175,,,,,
0.09829592704772949,176,176,,,,,
0.09788494557142258,177,177,,,,,
0.0974760353565216,178,178,,,,,
0.09706923365592957,179,179,,,,,
