train/loss,epoch,step
0.0,0,0
1.2592625617980957,1,1
0.8335176706314087,2,2
0.5845351815223694,3,3
0.5757421851158142,4,4
0.7262158393859863,5,5
0.8421818017959595,6,6
0.810705304145813,7,7
0.7002938985824585,8,8
0.5970114469528198,9,9
0.5391160845756531,10,10
0.538432240486145,11,11
0.5830751061439514,12,12
0.6327614784240723,13,13
0.643806517124176,14,14
0.613585352897644,15,15
0.5707597136497498,16,16
0.5363110303878784,17,17
0.5171669125556946,18,18
0.516498327255249,19,19
0.5321866869926453,20,20
0.5500476956367493,21,21
0.5531008243560791,22,22
0.539857029914856,23,23
0.5215221643447876,24,24
0.506296694278717,25,25
0.49641209840774536,26,26
0.4934692978858948,27,27
