train/loss,l1,l2,epoch,step
12748.8017578125,0.0009999998146668077,-6.000999927520752,0,0
12018.556640625,0.001965598203241825,-6.001988887786865,1,1
11439.384765625,0.0028763008303940296,-6.002960681915283,2,2
10981.818359375,0.003715281607583165,-6.003910541534424,3,3
10617.498046875,0.004472607281059027,-6.0048346519470215,4,4
10326.296875,0.005145439878106117,-6.005725860595703,5,5
10095.119140625,0.005737064406275749,-6.0065741539001465,6,6
9914.744140625,0.006255024112761021,-6.00736665725708,7,7
9777.4287109375,0.006708953995257616,-6.008086681365967,8,8
9675.087890625,0.007108995690941811,-6.008717060089111,9,9
9598.68359375,0.007464954629540443,-6.009243011474609,10,10
9539.654296875,0.0077859750017523766,-6.009653568267822,11,11
9491.7890625,0.008080404251813889,-6.009944438934326,12,12
9451.716796875,0.008355633355677128,-6.0101165771484375,13,13
9418.140625,0.008617890067398548,-6.010176658630371,14,14
9390.6767578125,0.008872034959495068,-6.010133743286133,15,15
9368.8984375,0.009121445938944817,-6.0099992752075195,16,16
9351.8984375,0.009368051774799824,-6.00978422164917,17,17
9338.380859375,0.00961252674460411,-6.009500026702881,18,18
9327.041015625,0.009854603558778763,-6.009156227111816,19,19
9316.9365234375,0.010093430988490582,-6.008761882781982,20,20
9307.60546875,0.0103278998285532,-6.008325099945068,21,21
9298.951171875,0.010556896217167377,-6.007852554321289,22,22
9290.978515625,0.010779467411339283,-6.007350444793701,23,23
9283.607421875,0.010994909331202507,-6.006824970245361,24,24
9276.65234375,0.011202787980437279,-6.00628137588501,25,25
9269.9755859375,0.011402910575270653,-6.005724906921387,26,26
9263.623046875,0.011595265008509159,-6.005159854888916,27,27
9257.8203125,0.011779950931668282,-6.00459098815918,28,28
9252.830078125,0.011957111768424511,-6.004021644592285,29,29
9248.7587890625,0.01212688721716404,-6.003455638885498,30,30
9245.474609375,0.012289372272789478,-6.002895832061768,31,31
9242.654296875,0.012444593943655491,-6.002344608306885,32,32
9239.9453125,0.012592482380568981,-6.001804828643799,33,33
9237.115234375,0.012732853181660175,-6.001277923583984,34,34
9234.109375,0.012865397147834301,-6.000766277313232,35,35
9230.994140625,0.012989678420126438,-6.000271320343018,36,36
9227.853515625,0.013105154037475586,-5.999794960021973,37,37
9224.7373046875,0.013211200945079327,-5.999339580535889,38,38
9221.658203125,0.013307145796716213,-5.99890661239624,39,39
9218.642578125,0.013392295688390732,-5.998498916625977,40,40
9215.7431640625,0.013465959578752518,-5.998118877410889,41,41
9213.03125,0.0135274613276124,-5.997768878936768,42,42
9210.5390625,0.013576147146522999,-5.997452259063721,43,43
9208.244140625,0.013611390255391598,-5.997172832489014,44,44
9206.07421875,0.013632599264383316,-5.996934413909912,45,45
9203.962890625,0.013639217242598534,-5.99674129486084,46,46
9201.8759765625,0.013630726374685764,-5.996598243713379,47,47
9199.8134765625,0.013606639578938484,-5.996510028839111,48,48
9197.77734375,0.013566489331424236,-5.996481895446777,49,49
9195.7421875,0.013509809039533138,-5.996518611907959,50,50
9193.6640625,0.013436109758913517,-5.99662446975708,51,51
9191.501953125,0.013344856910407543,-5.996803283691406,52,52
9189.25,0.013235443271696568,-5.9970574378967285,53,53
9186.943359375,0.013107163831591606,-5.99738883972168,54,54
9184.6279296875,0.01295919343829155,-5.997798919677734,55,55
9182.3349609375,0.01279057189822197,-5.998287677764893,56,56
9180.064453125,0.012600194662809372,-5.9988555908203125,57,57
9177.791015625,0.012386822141706944,-5.999502182006836,58,58
9175.48828125,0.012149098329246044,-6.000227928161621,59,59
9173.1337890625,0.011885592713952065,-6.001033306121826,60,60
9170.7177734375,0.011594844982028008,-6.001919269561768,61,61
9168.2265625,0.011275415308773518,-6.0028862953186035,62,62
9165.6416015625,0.010925923474133015,-6.00393533706665,63,63
9162.951171875,0.010545069351792336,-6.005066394805908,64,64
9160.146484375,0.010131635703146458,-6.006278991699219,65,65
9157.220703125,0.009684468619525433,-6.007570743560791,66,66
9154.16796875,0.009202444925904274,-6.008939266204834,67,67
9150.982421875,0.008684431202709675,-6.010380268096924,68,68
9147.650390625,0.00812925398349762,-6.011889934539795,69,69
9144.1669921875,0.007535678334534168,-6.013463020324707,70,70
