train/loss,l1,l2,epoch,step,val/loss,val/error_u,val/loss_best
5118.92236328125,-0.08101660758256912,-6.225514888763428,131,131,,,
5090.94384765625,-0.07863448560237885,-6.227864742279053,132,132,,,
5065.21337890625,-0.07624635100364685,-6.230209827423096,133,133,,,
5041.4990234375,-0.07385791093111038,-6.232548713684082,134,134,,,
5019.56298828125,-0.07147446274757385,-6.234879970550537,135,135,,,
4999.19677734375,-0.0691009983420372,-6.23720121383667,136,136,,,
4980.24169921875,-0.06674223393201828,-6.239509105682373,137,137,,,
4962.5947265625,-0.06440262496471405,-6.241800785064697,138,138,,,
4946.193359375,-0.06208629906177521,-6.244072914123535,139,139,,,
4930.9892578125,-0.059797074645757675,-6.246322154998779,140,140,,,
4916.919921875,-0.057538390159606934,-6.248545169830322,141,141,,,
4903.896484375,-0.05531321465969086,-6.250739574432373,142,142,,,
4891.79736328125,-0.05312390625476837,-6.252903461456299,143,143,,,
4880.48876953125,-0.05097205564379692,-6.255035877227783,144,144,,,
4869.833984375,-0.048858363181352615,-6.25713586807251,145,145,,,
4859.71533203125,-0.04678260535001755,-6.259203910827637,146,146,,,
4850.03515625,-0.044743701815605164,-6.261240482330322,147,147,,,
4840.7119140625,-0.04273982346057892,-6.263246536254883,148,148,,,
4831.6796875,-0.040768515318632126,-6.265223979949951,149,149,,,
4822.87744140625,-0.038826834410429,-6.267174243927002,150,150,,,
4814.255859375,-0.03691146895289421,-6.26909875869751,151,151,,,
4805.7734375,-0.03501887246966362,-6.270999431610107,152,152,,,
4797.40478515625,-0.03314543887972832,-6.272878170013428,153,153,,,
4789.1328125,-0.03128763660788536,-6.274736404418945,154,154,,,
4780.9482421875,-0.029442107304930687,-6.276575565338135,155,155,,,
4772.84228515625,-0.027605725452303886,-6.278397560119629,156,156,,,
4764.79931640625,-0.025775611400604248,-6.280203819274902,157,157,,,
4756.80419921875,-0.02394913323223591,-6.28199577331543,158,158,,,
4748.8388671875,-0.022123927250504494,-6.2837748527526855,159,159,,,
4740.89208984375,-0.020297925919294357,-6.2855424880981445,160,160,,,
4732.95654296875,-0.018469370901584625,-6.2873005867004395,161,161,,,
4725.03125,-0.016636822372674942,-6.289050579071045,162,162,,,
4717.11767578125,-0.014799139462411404,-6.2907938957214355,163,163,,,
4709.2177734375,-0.01295546069741249,-6.292531967163086,164,164,,,
4701.330078125,-0.01110519003123045,-6.294266223907471,165,165,,,
4693.4541015625,-0.009247981011867523,-6.295997142791748,166,166,,,
4685.58984375,-0.0073837097734212875,-6.297725677490234,167,167,,,
4677.73828125,-0.005512429401278496,-6.299452304840088,168,168,,,
4669.900390625,-0.0036343056708574295,-6.301177978515625,169,169,,,
